       (-0.45794177441018508,5.60816928227292403E-017)
               (0.0000000000000000,0.0000000000000000)
 (-5.15937564931252306E-019,-4.21295038547322628E-003)
       (-0.50048672890782575,6.12919470572697886E-017)
        (-8.84077448720690414E-019,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
         (2.70839614519086784E-018,0.0000000000000000)
        (-5.17564479703286914E-018,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
        (-6.40860636182098683E-017,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
         (1.18565952289308871E-016,0.0000000000000000)
         (7.59746111651344552E-017,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
             (-0.45794189878851221,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
             (-0.50048691308099447,0.0000000000000000)
         (1.10257715493200514E-006,0.0000000000000000)
         (3.47949751446212845E-006,0.0000000000000000)
         (1.50424268545164321E-005,0.0000000000000000)
         (6.82759587841147165E-005,0.0000000000000000)
         (3.15965998265612508E-004,0.0000000000000000)
         (1.43636687197372425E-003,0.0000000000000000)
         (6.43603637121766686E-003,0.0000000000000000)
         (2.64287863245745644E-002,0.0000000000000000)
         (9.36611027388209866E-002,0.0000000000000000)
              (0.24419336683064988,0.0000000000000000)
              (0.41249860111048986,0.0000000000000000)
              (0.43494259915227090,0.0000000000000000)
              (0.32310317406916034,0.0000000000000000)
              (0.19572515475720545,0.0000000000000000)
              (0.10875789751126891,0.0000000000000000)
         (5.93166776605025536E-002,0.0000000000000000)
         (3.62487952107204414E-002,0.0000000000000000)
  (-5.15937564931252306E-019,2.46407363068919857E-003)
               (0.0000000000000000,0.0000000000000000)
             (-0.45794189880052133,0.0000000000000000)
  (-4.46833798289358505E-019,3.64867552681483708E-003)
               (0.0000000000000000,0.0000000000000000)
             (-0.50048689209506192,0.0000000000000000)
   (3.04600229833647082E-021,2.48724963034512053E-005)
   (4.98439858541908789E-021,4.07007031688702174E-005)
   (9.33346126730877354E-021,7.62134949913950374E-005)
   (1.78424839516645654E-020,1.45694938109202873E-004)
   (3.43778011161602282E-020,2.80716049576898549E-004)
   (6.56593469986575481E-020,5.36149257389334543E-004)
